"Model Year","Diesel","Gasoline","Gasoline with Stop-Start","Mild Hybrid","Hybrid","Plugin Hybrid","Battery Electric","Other"
"2010",0.69,95.5,0,0,3.81,0,0,0
"2011",0.76,96.95,0,0,2.16,0.04,0.08,0.01
"2012",0.92,94.9,0.64,0.13,3,0.26,0.13,0.03
"2013",0.9,92.55,2.27,0.3,3.27,0.36,0.33,0
"2014",1.03,90.8,4.89,0.06,2.54,0.4,0.29,0.01
"2015",0.95,88.94,6.96,0.03,2.38,0.27,0.47,0
"2016",0.46,87.45,9.44,0.01,1.83,0.32,0.49,0.01
"2017",0.26,78.4,17.67,0.01,2.28,0.76,0.6,0.02
"2018",0.4,65.51,29.6,0.38,1.92,0.81,1.37,0.01
"2019",0.13,57.56,36.83,1.26,2.5,0.5,1.21,0.01
"2020",0.48,46.94,45.42,1.84,3.07,0.49,1.75,0.01
"2021",1.05,41.1,44.04,4.02,5.33,1.19,3.25,0.02
"2022",0.81,33.37,48.89,4.19,6.05,1.46,5.21,0.02
"2023",0.77,26.33,49.23,4.95,7.18,1.71,9.8,0.02
"2024-prelim",0.77,14.9,54.99,5.33,9.25,3.29,11.4,0.07
